"","d"
"229",2
"230",13
"231",10
"232",2
"233",1
"234",1
"235",1
"236",7
"237",1
"238",1
"239",2
"240",7
"241",11
"242",3
"243",7
"244",1
"245",2
"246",5
"247",3
"248",2
"249",2
"250",2
"251",2
"252",3
"253",5
"254",1
"255",10
"256",2
"257",2
"258",1
"259",5
"260",14
"261",35
"262",31
"263",1
"264",10
"265",6
"266",23
"267",8
"268",24
"269",1
"270",3
"271",5
"272",3
"273",1
"274",2
"275",2
"276",5
"277",14
"278",1
"279",1
"280",1
"281",2
"282",1
"283",2
"284",15
"285",1
"286",1
"287",9
"288",2
"289",1
"290",1
"291",20
"292",10
"293",10
"294",2
"295",47
"296",2
"297",3
"298",20
"299",2
"300",6
"301",5
"302",11
"303",9
"304",1
"305",21
"306",6
"307",9
"308",3
"309",2
"310",1
"311",3
"312",4
"313",29
"314",3
"315",5
"316",25
"317",3
"318",2
"319",1
"320",5
"321",18
"322",1
"323",3
"324",2
"325",7
"326",1
"327",1
"328",2
"329",1
"330",2
"331",2
"332",11
"333",1
"334",1
"335",4
"336",26
"337",16
"338",4
"339",2
"340",1
"341",1
"342",2
"343",1
"344",2
"345",1
"346",1
"347",1
"348",1
"349",3
"350",4
"351",1
"352",2
"353",3
"354",11
"355",1
"356",1
"357",1
"358",1
"359",4
"360",48
"361",1
"362",1
"363",53
"364",1
"365",32
"366",17
"367",2
"368",2
"369",1
"370",10
"371",2
"372",7
"373",1
"374",15
"375",33
"376",32
"377",1
"378",15
"379",17
"380",1
"381",2
"382",2
"383",15
"384",2
"385",3
"386",3
"387",8
"388",1
"389",2
"390",1
"391",1
"392",15
"393",2
"394",2
"395",1
"396",1
"397",1
"398",7
"399",3
"400",1
"401",1
"402",1
"403",10
"404",7
"405",1
"406",2
"407",1
"408",1
"409",2
"410",1
"411",3
"412",1
"413",8
"414",20
"415",1
"416",16
"417",27
"418",3
"419",1
"420",2
"421",1
"422",1
"423",2
"424",11
"425",9
"426",26
"427",3
"428",1
"429",3
"430",8
"431",16
"432",14
"433",19
"434",5
"435",1
"436",23
"437",5
"438",1
"439",2
"440",14
"441",1
"442",1
"443",3
"444",1
"445",21
"446",14
"447",4
"448",9
"449",16
"450",1
"451",3
"452",2
"453",2
"454",2
"455",11
"456",8
"457",2
"458",26
"459",17
"460",5
"461",22
"462",4
"463",1
"464",2
"465",9
"466",13
"467",3
"468",10
"469",2
"470",2
"471",4
"472",2
"473",2
"474",5
"475",2
"476",6
"477",2
"478",27
"479",10
"480",1
"481",9
"482",1
"483",35
"484",8
"485",8
"486",1
"487",1
"488",9
"489",2
"490",1
"491",13
"492",10
"493",2
"494",22
"495",9
"496",10
"497",8
"498",21
"499",2
"500",2
"501",1
"502",1
"503",6
"504",2
"505",2
"506",10
"507",3
"508",4
"509",2
"510",1
"511",2
"512",1
"513",2
"514",12
"515",5
"516",2
"517",2
"518",30
"519",1
"520",2
"521",2
"522",1
"523",3
"524",12
"525",24
"526",10
"527",1
"528",1
"529",2
"530",1
"531",2
"532",7
"533",9
"534",1
"535",2
"536",27
"537",1
"538",10
"539",1
"540",1
"541",4
"542",2
"543",3
"544",1
"545",4
"546",3
"547",1
"548",7
"549",2
"550",2
"551",24
"552",11
"553",1
"554",20
"555",1
"556",1
"557",1
"558",2
"559",1
"560",9
"561",3
"562",13
"563",2
"564",3
"565",1
"566",1
"567",1
"568",2
"569",1
"570",1
"571",3
"572",1
"573",6
"574",7
"575",10
"576",1
"577",20
"578",9
"579",1
"580",5
"581",11
"582",2
"583",16
"584",9
"585",8
"586",3
"587",1
"588",1
"589",8
"590",15
"591",5
"592",15
"593",8
"594",1
"595",2
"596",1
"597",5
"598",23
"599",8
"600",59
"601",9
"602",5
"603",3
"604",2
"605",2
"606",54
"607",22
"608",2
"609",8
"610",1
"611",1
"612",19
"613",1
"614",4
"615",22
"616",3
"617",1
"618",2
"619",5
"620",6
"621",5
"622",1
"623",1
"624",2
"625",2
"626",1
"627",2
"628",3
"629",8
"630",23
"631",2
"632",28
"633",1
"634",11
"635",22
"636",3
"637",1
"638",5
"639",1
"640",3
"641",6
"642",1
"643",3
"644",10
"645",6
"646",2
"647",1
"648",1
"649",1
"650",9
"651",1
"652",2
"653",2
"654",2
"655",1
"656",1
"657",6
"658",15
"659",2
"660",2
"661",3
"662",1
"663",1
"664",1
"665",5
"666",11
"667",1
"668",2
"669",16
"670",11
"671",8
"672",10
"673",1
"674",2
"675",22
"676",1
"677",1
"678",1
"679",4
"680",11
"681",1
"682",3
"683",5
"684",6
"685",1
"686",1
"687",3
"688",2
"689",1
"690",27
"691",9
"692",2
"693",5
"694",26
"695",1
"696",4
"697",3
"698",1
"699",1
"700",1
"701",1
"702",20
"703",1
"704",8
"705",1
"706",1
"707",21
"708",9
"709",2
"710",1
"711",4
"712",35
"713",1
"714",1
"715",5
"716",1
"717",1
"718",6
"719",2
"720",2
"721",7
"722",1
"723",36
"724",1
"725",1
"726",6
"727",1
"728",1
"729",1
"730",2
"731",11
"732",1
"733",1
"734",1
"735",1
"736",1
"737",15
"738",6
"739",15
"740",6
"741",1
"742",2
"743",1
"744",1
"745",1
"746",15
"747",3
"748",34
"749",1
"750",1
"751",2
"752",1
"753",1
"754",4
"755",4
"756",2
"757",6
"758",14
"759",22
"760",4
"761",13
"762",5
"763",1
"764",21
"765",7
"766",6
"767",2
"768",1
"769",4
"770",2
"771",16
"772",1
"773",4
"774",1
"775",8
"776",1
"777",2
"778",11
"779",1
"780",9
"781",1
"782",2
"783",2
"784",25
"785",12
"786",47
"787",2
"788",46
"789",3
"790",9
"791",2
"792",2
"793",1
"794",2
"795",9
"796",5
"797",2
"798",9
"799",22
"800",4
"801",9
"802",1
"803",1
"804",2
"805",1
"806",2
"807",2
"808",2
"809",2
"810",2
"811",2
"812",1
"813",1
"814",2
"815",2
"816",2
"817",1
"818",1
"819",3
"820",21
"821",1
"822",1
"823",10
"824",45
"825",2
"826",13
"827",41
"828",1
"829",6
"830",1
"831",2
"832",1
"833",2
"834",2
"835",1
"836",1
"837",1
"838",1
"839",3
"840",2
"841",15
"842",15
"843",25
"844",1
"845",1
"846",2
"847",15
"848",1
"849",14
"850",2
"851",12
"852",2
"853",6
"854",1
"855",2
"856",1
"857",2
"858",3
"859",4
"860",1
"861",21
"862",15
"863",15
"864",2
"865",1
"866",2
"867",3
"868",9
"869",6
"870",7
"871",3
"872",21
"873",1
"874",4
"875",2
"876",31
"877",8
"878",3
"879",1
"880",1
"881",6
"882",1
"883",5
"884",2
"885",15
"886",46
"887",7
"888",3
"889",1
"890",11
"891",5
"892",9
"893",2
"894",1
"895",7
"896",1
"897",2
"898",1
"899",2
"900",2
"901",2
"902",1
"903",18
"904",10
"905",12
"906",2
"907",3
"908",11
"909",1
"910",2
"911",31
"912",1
"913",1
"914",2
"915",1
"916",9
"917",15
"918",28
"919",1
"920",2
"921",5
"922",11
"923",10
"924",1
"925",1
"926",2
"927",3
"928",1
"929",15
"930",2
"931",1
"932",10
"933",2
"934",14
"935",16
"936",2
"937",1
"938",2
"939",2
"940",29
"941",17
"942",2
"943",2
"944",1
"945",13
"946",24
"947",2
"948",17
"949",21
"950",8
"951",9
"952",3
"953",19
"954",1
"955",2
"956",14
"957",1
"958",1
"959",2
"960",9
"961",28
"962",1
"963",2
"964",8
"965",2
"966",8
"967",1
"968",1
"969",2
"970",10
"971",8
"972",1
"973",6
"974",2
"975",1
"976",19
"977",3
"978",1
"979",1
"980",15
"981",18
"982",1
"983",1
"984",11
"985",6
"986",2
"987",1
"988",33
"989",12
"990",8
"991",7
"992",2
"993",12
"994",20
"995",1
"996",16
"997",2
"998",4
"999",14
"1000",2
"1001",5
"1002",5
"1003",10
"1004",2
"1005",5
"1006",26
"1007",2
"1008",23
"1009",10
"1010",2
"1011",14
"1012",23
"1013",7
"1014",2
"1015",1
"1016",23
"1017",1
"1018",18
"1019",2
"1020",2
"1021",2
"1022",4
"1023",8
"1024",2
"1025",5
"1026",2
"1027",2
"1028",2
"1029",1
"1030",1
"1031",8
"1032",3
"1033",2
"1034",2
"1035",2
"1036",10
"1037",2
"1038",6
"1039",5
"1040",2
"1041",14
"1042",3
"1043",11
"1044",24
"1045",2
"1046",1
"1047",19
"1048",27
"1049",8
"1050",3
"1051",3
"1052",1
"1053",1
"1054",29
"1055",10
"1056",2
"1057",14
"1058",1
"1059",4
"1060",1
"1061",1
"1062",1
"1063",1
"1064",5
"1065",13
"1066",13
"1067",1
"1068",7
"1069",1
"1070",2
"1071",5
"1072",1
"1073",1
"1074",2
"1075",1
"1076",2
"1077",2
"1078",13
"1079",18
"1080",9
"1081",4
"1082",1
"1083",1
"1084",9
"1085",27
"1086",3
"1087",2
"1088",2
"1089",20
"1090",1
"1091",1
"1092",13
"1093",4
"1094",1
"1095",4
"1096",4
"1097",16
"1098",47
"1099",11
"1100",2
"1101",29
"1102",10
"1103",7
"1104",1
"1105",3
"1106",2
"1107",5
"1108",22
"1109",2
"1110",1
"1111",1
"1112",2
"1113",3
"1114",4
"1115",2
"1116",3
"1117",4
"1118",21
"1119",14
"1120",2
"1121",2
"1122",20
"1123",23
"1124",1
"1125",1
"1126",2
"1127",1
"1128",19
"1129",1
"1130",11
"1131",5
"1132",3
"1133",2
"1134",19
"1135",2
"1136",19
"1137",10
"1138",5
"1139",10
"1140",4
"1141",17
"1142",7
"1143",9
"1144",3
"1145",9
"1146",5
"1147",29
"1148",2
"1149",1
"1150",1
"1151",25
"1152",83
"1153",2
"1154",6
"1155",11
"1156",9
"1157",7
"1158",26
"1159",1
"1160",5
"1161",3
"1162",14
"1163",1
"1164",11
"1165",2
"1166",9
"1167",1
"1168",6
"1169",11
"1170",1
"1171",24
"1172",4
"1173",3
"1174",1
"1175",6
"1176",1
"1177",4
"1178",4
"1179",2
"1180",19
"1181",6
"1182",1
"1183",14
"1184",7
"1185",9
"1186",1
"1187",1
"1188",14
"1189",2
"1190",1
"1191",1
"1192",1
"1193",8
"1194",4
"1195",5
"1196",3
"1197",3
"1198",2
"1199",1
"1200",1
"1201",14
"1202",1
"1203",1
"1204",1
"1205",29
"1206",1
"1207",14
"1208",9
"1209",31
"1210",2
"1211",7
"1212",20
"1213",1
"1214",1
"1215",2
"1216",12
"1217",3
"1218",2
"1219",3
"1220",6
"1221",1
"1222",2
"1223",1
"1224",12
"1225",1
"1226",13
"1227",10
"1228",7
"1229",7
"1230",16
"1231",8
"1232",3
"1233",1
"1234",5
"1235",2
"1236",1
"1237",2
"1238",2
"1239",22
"1240",3
"1241",3
"1242",1
"1243",39
"1244",2
"1245",6
"1246",2
"1247",2
"1248",3
"1249",12
"1250",5
"1251",14
"1252",14
"1253",2
"1254",14
"1255",9
"1256",1
"1257",1
"1258",4
"1259",2
"1260",1
"1261",3
"1262",14
"1263",18
"1264",3
"1265",1
"1266",3
"1267",3
"1268",14
"1269",2
"1270",1
"1271",1
"1272",11
"1273",13
"1274",11
"1275",4
"1276",10
"1277",2
"1278",4
"1279",8
"1280",1
"1281",3
"1282",5
"1283",11
"1284",12
"1285",3
"1286",1
"1287",1
"1288",2
"1289",1
"1290",42
"1291",22
"1292",8
"1293",4
"1294",3
"1295",2
"1296",15
"1297",2
"1298",7
"1299",5
"1300",1
"1301",17
"1302",11
"1303",9
"1304",5
"1305",1
"1306",2
"1307",5
"1308",2
"1309",2
"1310",1
"1311",2
"1312",10
"1313",15
"1314",2
"1315",1
"1316",8
"1317",4
"1318",1
"1319",2
"1320",2
"1321",2
"1322",4
"1323",3
"1324",11
"1325",1
"1326",10
"1327",1
"1328",1
"1329",26
"1330",15
"1331",2
"1332",16
"1333",1
"1334",1
"1335",3
"1336",5
"1337",2
"1338",24
"1339",35
"1340",2
"1341",1
"1342",1
"1343",1
"1344",3
"1345",1
"1346",19
"1347",10
"1348",3
"1349",11
"1350",1
"1351",13
"1352",2
"1353",1
"1354",1
"1355",2
"1356",21
"1357",3
"1358",1
"1359",4
"1360",1
"1361",1
"1362",11
"1363",2
"1364",1
"1365",18
"1366",1
"1367",1
"1368",4
"1369",3
"1370",1
"1371",1
"1372",5
"1373",6
"1374",5
"1375",9
"1376",2
"1377",1
"1378",2
"1379",1
"1380",3
"1381",2
"1382",3
"1383",1
"1384",4
"1385",1
"1386",1
"1387",1
"1388",10
"1389",1
"1390",2
"1391",2
"1392",13
"1393",1
"1394",12
"1395",2
"1396",11
"1397",1
"1398",5
"1399",2
"1400",2
"1401",4
"1402",1
"1403",1
"1404",43
"1405",3
"1406",19
"1407",3
"1408",1
"1409",1
"1410",1
"1411",5
"1412",1
"1413",26
"1414",2
"1415",2
"1416",41
"1417",4
"1418",4
"1419",1
"1420",1
"1421",1
"1422",8
"1423",2
"1424",17
"1425",13
"1426",3
"1427",1
"1428",13
"1429",2
"1430",12
"1431",3
"1432",9
"1433",2
"1434",2
"1435",1
"1436",1
"1437",2
"1438",18
"1439",1
"1440",3
"1441",6
"1442",2
"1443",2
"1444",1
"1445",20
"1446",5
"1447",7
"1448",1
"1449",5
"1450",1
"1451",4
"1452",1
"1453",2
"1454",3
"1455",2
"1456",10
"1457",10
"1458",1
"1459",17
"1460",4
"1461",6
"1462",1
"1463",1
"1464",1
"1465",3
"1466",3
"1467",1
"1468",13
"1469",7
"1470",12
"1471",1
"1472",1
"1473",28
"1474",1
"1475",1
"1476",7
"1477",1
"1478",7
"1479",13
"1480",5
"1481",3
"1482",12
"1483",9
"1484",1
"1485",6
"1486",1
"1487",3
"1488",3
"1489",28
"1490",2
"1491",11
"1492",3
"1493",1
"1494",9
"1495",2
"1496",7
"1497",1
"1498",3
"1499",5
"1500",2
"1501",1
"1502",56
"1503",4
"1504",12
"1505",1
"1506",2
"1507",8
"1508",6
"1509",11
"1510",1
"1511",4
"1512",1
"1513",1
"1514",1
"1515",1
"1516",14
"1517",43
"1518",2
"1519",11
"1520",1
"1521",1
"1522",9
"1523",1
"1524",2
"1525",1
"1526",1
"1527",1
"1528",1
"1529",24
"1530",1
"1531",2
"1532",20
"1533",3
"1534",3
"1535",1
"1536",3
"1537",8
"1538",17
"1539",3
"1540",1
"1541",10
"1542",8
"1543",8
"1544",1
"1545",10
"1546",2
"1547",2
"1548",28
"1549",1
"1550",3
"1551",3
"1552",1
"1553",3
"1554",3
"1555",16
"1556",12
"1557",1
"1558",2
"1559",22
"1560",2
"1561",11
"1562",12
"1563",4
"1564",14
"1565",6
"1566",3
"1567",2
"1568",46
"1569",11
"1570",3
"1571",2
"1572",1
"1573",21
"1574",3
"1575",1
"1576",12
"1577",11
"1578",1
"1579",1
"1580",1
"1581",26
"1582",1
"1583",1
"1584",2
"1585",3
"1586",1
"1587",1
"1588",12
"1589",2
"1590",1
"1591",17
"1592",3
"1593",32
"1594",2
"1595",1
"1596",7
"1597",1
"1598",12
"1599",2
"1600",13
"1601",1
"1602",28
"1603",1
"1604",8
"1605",8
"1606",2
"1607",9
"1608",5
"1609",6
"1610",1
"1611",1
"1612",12
"1613",4
"1614",31
"1615",3
"1616",10
"1617",1
"1618",1
"1619",1
"1620",17
"1621",5
"1622",7
"1623",10
"1624",1
"1625",1
"1626",19
"1627",1
"1628",1
"1629",1
"1630",6
"1631",2
"1632",1
"1633",13
"1634",1
"1635",1
"1636",5
"1637",5
"1638",1
"1639",27
"1640",2
"1641",3
"1642",2
"1643",3
"1644",11
"1645",1
"1646",1
"1647",29
"1648",3
"1649",1
"1650",22
"1651",1
"1652",5
"1653",8
"1654",3
"1655",2
"1656",2
"1657",7
"1658",9
"1659",6
"1660",5
"1661",2
"1662",1
"1663",2
"1664",1
"1665",45
"1666",2
"1667",5
"1668",49
"1669",3
"1670",3
"1671",20
"1672",1
"1673",1
"1674",2
"1675",3
"1676",20
"1677",1
"1678",23
"1679",2
"1680",1
"1681",9
"1682",26
"1683",1
"1684",1
"1685",18
"1686",32
"1687",2
"1688",1
"1689",15
"1690",2
"1691",1
"1692",1
"1693",1
"1694",1
"1695",19
"1696",4
"1697",20
"1698",4
"1699",1
"1700",9
"1701",3
"1702",11
"1703",1
"1704",2
"1705",1
"1706",5
"1707",1
"1708",1
"1709",2
"1710",1
"1711",7
"1712",29
"1713",1
"1714",7
"1715",2
"1716",23
"1717",1
"1718",1
"1719",2
"1720",11
"1721",14
"1722",1
"1723",1
"1724",5
"1725",1
"1726",1
"1727",2
"1728",19
"1729",9
"1730",40
"1731",6
"1732",14
"1733",1
"1734",1
"1735",10
"1736",13
"1737",6
"1738",1
"1739",6
"1740",1
"1741",12
"1742",1
"1743",1
"1744",3
"1745",2
"1746",5
"1747",1
"1748",16
"1749",1
"1750",2
"1751",2
"1752",2
"1753",1
"1754",1
"1755",2
"1756",2
"1757",13
"1758",1
"1759",3
"1760",1
"1761",1
"1762",1
"1763",3
"1764",1
"1765",1
"1766",12
"1767",1
"1768",11
"1769",3
"1770",5
"1771",3
"1772",1
"1773",1
"1774",1
"1775",1
"1776",2
"1777",1
"1778",22
"1779",1
"1780",1
"1781",1
"1782",14
"1783",20
"1784",3
"1785",3
"1786",17
"1787",20
"1788",1
"1789",1
"1790",11
"1791",3
"1792",1
"1793",1
"1794",6
"1795",15
"1796",23
"1797",1
"1798",2
"1799",1
"1800",1
"1801",1
"1802",4
"1803",1
"1804",1
"1805",3
"1806",2
"1807",1
"1808",1
"1809",2
"1810",1
"1811",4
"1812",1
"1813",2
"1814",3
"1815",1
"1816",9
"1817",1
"1818",1
"1819",4
"1820",2
"1821",2
"1822",1
"1823",54
"1824",1
"1825",8
"1826",16
"1827",1
"1828",1
"1829",1
"1830",6
"1831",3
"1832",1
"1833",6
"1834",1
"1835",2
"1836",1
"1837",1
"1838",2
"1839",1
"1840",17
"1841",2
"1842",2
"1843",1
"1844",9
"1845",8
"1846",5
"1847",17
"1848",2
"1849",1
"1850",13
"1851",2
"1852",8
"1853",1
"1854",1
"1855",1
"1856",3
"1857",26
"1858",4
"1859",3
"1860",2
"1861",1
"1862",1
"1863",22
"1864",12
"1865",2
"1866",6
"1867",2
"1868",1
"1869",10
"1870",8
"1871",6
"1872",1
"1873",1
"1874",1
"1875",10
"1876",24
"1877",1
"1878",1
"1879",2
"1880",2
"1881",3
"1882",4
"1883",3
"1884",1
"1885",7
"1886",2
"1887",3
"1888",1
"1889",1
"1890",1
"1891",1
"1892",4
"1893",8
"1894",11
"1895",13
"1896",10
"1897",1
"1898",1
"1899",2
"1900",1
"1901",9
"1902",13
"1903",1
"1904",1
"1905",1
"1906",1
"1907",1
"1908",1
"1909",8
"1910",5
"1911",1
"1912",1
"1913",5
"1914",1
"1915",2
"1916",1
"1917",2
"1918",2
"1919",1
"1920",1
"1921",11
"1922",2
"1923",1
"1924",1
"1925",1
"1926",16
"1927",13
"1928",5
"1929",2
"1930",13
"1931",1
"1932",1
"1933",5
"1934",8
"1935",10
"1936",1
"1937",1
"1938",1
"1939",4
"1940",3
"1941",23
"1942",11
"1943",1
"1944",1
"1945",2
"1946",2
"1947",2
"1948",2
"1949",1
"1950",5
"1951",10
"1952",1
"1953",25
"1954",23
"1955",40
"1956",1
"1957",3
"1958",2
"1959",2
"1960",2
"1961",2
"1962",13
"1963",3
"1964",1
"1965",1
"1966",1
"1967",4
"1968",1
"1969",2
"1970",11
"1971",16
"1972",1
"1973",7
"1974",3
"1975",16
"1976",1
"1977",3
"1978",1
"1979",3
"1980",6
"1981",9
"1982",1
"1983",1
"1984",11
"1985",1
"1986",1
"1987",1
"1988",9
"1989",37
"1990",2
"1991",3
"1992",1
"1993",1
"1994",1
"1995",1
"1996",1
"1997",1
"1998",1
"1999",11
"2000",3
"2001",1
"2002",2
"2003",35
"2004",1
"2005",1
"2006",1
"2007",11
"2008",2
"2009",1
"2010",1
"2011",18
"2012",9
"2013",12
"2014",5
"2015",9
"2016",14
"2017",4
"2018",1
"2019",2
"2020",1
"2021",14
"2022",1
"2023",5
"2024",2
"2025",1
"2026",1
"2027",1
"2028",3
"2029",2
"2030",9
"2031",2
"2032",8
"2033",1
"2034",27
"2035",11
"2036",3
"2037",1
"2038",1
"2039",7
"2040",1
"2041",2
"2042",7
"2043",1
"2044",14
"2045",16
"2046",2
"2047",8
"2048",4
"2049",10
"2050",11
"2051",2
"2052",4
"2053",6
"2054",1
"2055",2
"2056",13
"2057",3
"2058",10
"2059",6
"2060",2
"2061",5
"2062",9
"2063",2
"2064",2
"2065",1
"2066",4
"2067",19
"2068",15
"2069",3
"2070",16
"2071",7
"2072",27
"2073",1
"2074",19
"2075",1
"2076",13
"2077",23
"2078",1
"2079",7
"2080",13
"2081",1
"2082",2
"2083",1
"2084",4
"2085",1
"2086",1
"2087",22
"2088",1
"2089",3
"2090",21
"2091",1
"2092",1
"2093",2
"2094",5
"2095",5
"2096",3
"2097",21
"2098",1
"2099",4
"2100",1
"2101",30
"2102",1
"2103",1
"2104",1
"2105",26
"2106",6
"2107",1
"2108",17
"2109",14
"2110",7
"2111",1
"2112",2
"2113",5
"2114",4
"2115",1
"2116",19
"2117",1
"2118",26
"2119",2
"2120",1
"2121",2
"2122",3
"2123",9
"2124",1
"2125",3
"2126",1
"2127",6
"2128",11
"2129",10
"2130",22
"2131",12
"2132",11
"2133",11
"2134",1
"2135",1
"2136",1
"2137",7
"2138",24
"2139",18
"2140",3
"2141",21
"2142",1
"2143",1
"2144",2
"2145",1
"2146",17
"2147",25
"2148",6
"2149",1
"2150",1
"2151",1
"2152",19
"2153",2
"2154",1
"2155",1
"2156",1
"2157",1
"2158",9
"2159",2
"2160",10
"2161",1
"2162",3
"2163",28
"2164",2
"2165",15
"2166",10
"2167",1
"2168",1
"2169",31
"2170",1
"2171",1
"2172",17
"2173",12
"2174",3
"2175",7
"2176",1
"2177",8
"2178",1
"2179",14
"2180",2
"2181",15
"2182",4
"2183",1
"2184",2
"2185",5
"2186",2
"2187",9
"2188",3
"2189",1
"2190",3
"2191",9
"2192",3
"2193",6
"2194",15
"2195",5
"2196",16
"2197",10
"2198",23
"2199",3
"2200",9
"2201",9
"2202",1
"2203",2
"2204",10
"2205",23
"2206",16
"2207",9
"2208",1
"2209",2
"2210",5
"2211",16
"2212",1
"2213",1
"2214",11
"2215",1
"2216",1
"2217",1
"2218",8
"2219",2
"2220",1
"2221",2
"2222",13
"2223",2
"2224",42
"2225",2
"2226",31
"2227",2
"2228",2
"2229",1
"2230",1
"2231",6
"2232",12
"2233",2
"2234",4
"2235",2
"2236",1
"2237",2
"2238",1
"2239",21
"2240",1
"2241",12
"2242",2
"2243",16
"2244",1
"2245",3
"2246",24
"2247",10
"2248",7
"2249",38
"2250",1
"2251",2
"2252",1
"2253",1
"2254",3
"2255",21
"2256",10
"2257",1
"2258",4
"2259",1
"2260",4
"2261",2
"2262",5
"2263",1
"2264",10
"2265",4
"2266",18
"2267",1
"2268",5
"2269",8
"2270",1
"2271",11
"2272",1
"2273",1
"2274",1
"2275",15
"2276",1
"2277",13
"2278",24
"2279",1
"2280",2
"2281",4
"2282",6
"2283",18
"2284",2
"2285",2
"2286",21
"2287",15
"2288",44
"2289",4
"2290",24
"2291",2
"2292",1
"2293",1
"2294",3
"2295",1
"2296",1
"2297",1
"2298",1
"2299",1
"2300",5
"2301",15
"2302",7
"2303",15
"2304",1
"2305",2
"2306",1
"2307",1
"2308",7
"2309",1
"2310",1
"2311",15
"2312",20
"2313",5
"2314",2
"2315",2
"2316",1
"2317",2
"2318",15
"2319",4
"2320",1
"2321",1
"2322",1
"2323",3
"2324",1
"2325",2
"2326",1
"2327",11
"2328",2
"2329",1
"2330",1
"2331",4
"2332",3
"2333",28
"2334",19
"2335",7
"2336",1
"2337",5
"2338",15
"2339",2
"2340",19
"2341",4
"2342",16
"2343",1
"2344",13
"2345",18
"2346",21
"2347",2
"2348",16
"2349",9
"2350",7
"2351",3
"2352",1
"2353",1
"2354",1
"2355",11
"2356",2
"2357",1
"2358",10
"2359",1
"2360",1
"2361",10
"2362",5
"2363",1
"2364",13
"2365",2
"2366",2
"2367",10
"2368",9
"2369",1
"2370",1
"2371",1
"2372",6
"2373",1
"2374",1
"2375",7
"2376",1
"2377",1
"2378",7
"2379",2
"2380",1
"2381",1
"2382",2
"2383",1
"2384",2
"2385",2
"2386",3
"2387",1
"2388",1
"2389",2
"2390",1
"2391",1
"2392",2
"2393",1
"2394",11
"2395",1
"2396",1
"2397",1
"2398",5
"2399",1
"2400",4
"2401",1
"2402",2
"2403",2
"2404",9
"2405",2
"2406",1
"2407",11
"2408",17
"2409",1
"2410",1
"2411",1
"2412",1
"2413",2
"2414",26
"2415",2
"2416",8
"2417",8
"2418",1
"2419",1
"2420",3
"2421",1
"2422",22
"2423",1
"2424",5
"2425",8
"2426",20
"2427",1
"2428",1
"2429",10
"2430",3
"2431",1
"2432",2
"2433",2
"2434",1
"2435",2
"2436",1
"2437",1
"2438",1
"2439",16
"2440",18
"2441",1
"2442",2
"2443",25
"2444",5
"2445",3
"2446",5
"2447",9
"2448",1
"2449",1
"2450",1
"2451",1
"2452",1
"2453",3
"2454",1
"2455",2
"2456",2
"2457",18
"2458",7
"2459",1
"2460",11
"2461",13
"2462",2
"2463",1
"2464",26
"2465",1
"2466",12
"2467",1
"2468",3
"2469",4
"2470",2
"2471",3
"2472",4
"2473",17
"2474",14
"2475",2
"2476",1
"2477",5
"2478",1
"2479",11
"2480",1
"2481",1
"2482",6
"2483",20
"2484",29
"2485",3
"2486",2
"2487",8
"2488",41
"2489",6
"2490",2
"2491",44
"2492",1
"2493",13
"2494",1
"2495",1
"2496",4
"2497",13
"2498",11
