treebank	n	D	Drla	Dmin
ara	19	43	120	36
ara	23	47	176	39
ara	10	15	33	14
ara	5	7	8	6
ara	25	49	208	43
ara	11	26	40	17
ara	6	8	11.6667	6
ara	16	26	85	25
ara	6	9	11.6667	6
ara	19	44	120	34
ara	13	23	56	17
ara	13	25	56	17
ara	12	24	47.6667	20
ara	13	27	56	17
ara	17	46	96	28
ara	12	22	47.6667	18
ara	33	84	362.667	60
ara	6	7	11.6667	6
ara	14	27	65	21
ara	20	35	133	32
ara	23	51	176	40
ara	15	26	74.6667	22
ara	21	38	146.667	35
ara	8	16	21	12
ara	10	16	33	14
ara	20	38	133	33
ara	16	31	85	22
ara	8	14	21	10
ara	24	74	191.667	46
ara	20	43	133	32
ara	24	56	191.667	40
ara	9	15	26.6667	10
ara	22	39	161	35
ara	14	28	65	22
ara	21	76	146.667	32
ara	15	34	74.6667	23
ara	12	34	47.6667	15
ara	19	29	120	25
ara	14	25	65	22
ara	23	51	176	35
ara	20	38	133	32
ara	15	40	74.6667	23
ara	23	56	176	36
ara	18	40	107.667	24
ara	13	23	56	19
ara	15	22	74.6667	18
ara	17	30	96	26
ara	7	7	16	7
ara	22	77	161	38
ara	12	25	47.6667	18
ara	12	21	47.6667	16
ara	13	20	56	16
ara	17	31	96	25
ara	30	87	299.667	53
ara	22	41	161	36
ara	18	44	107.667	28
ara	22	56	161	33
ara	18	35	107.667	30
ara	17	36	96	25
ara	18	34	107.667	27
ara	25	60	208	42
ara	21	42	146.667	32
ara	17	37	96	29
ara	6	5	11.6667	5
ara	9	16	26.6667	13
ara	11	20	40	15
ara	29	97	280	55
ara	12	16	47.6667	14
ara	19	42	120	36
ara	16	33	85	24
ara	13	24	56	17
ara	10	17	33	11
ara	17	36	96	25
ara	16	26	85	23
ara	8	15	21	10
ara	19	49	120	33
ara	10	20	33	13
ara	14	31	65	21
ara	17	30	96	26
ara	14	29	65	21
ara	24	71	191.667	38
ara	16	30	85	26
ara	20	34	133	30
ara	26	61	225	45
ara	14	21	65	18
ara	11	19	40	16
ara	14	23	65	22
ara	15	24	74.6667	22
ara	14	22	65	18
ara	33	87	362.667	61
ara	15	27	74.6667	24
ara	10	18	33	13
ara	31	69	320	53
ara	9	14	26.6667	10
ara	12	18	47.6667	13
ara	15	25	74.6667	21
ara	13	22	56	19
ara	20	37	133	32
ara	20	39	133	32
ara	9	12	26.6667	11
ara	9	14	26.6667	12
ara	16	30	85	25
ara	11	19	40	15
ara	28	74	261	53
ara	18	32	107.667	28
ara	25	76	208	44
ara	27	55	242.667	44
ara	15	23	74.6667	22
ara	10	15	33	12
ara	17	31	96	25
ara	13	18	56	16
ara	28	82	261	57
ara	26	59	225	45
ara	30	65	299.667	51
ara	16	42	85	24
ara	28	54	261	46
ara	15	32	74.6667	27
ara	18	32	107.667	26
ara	25	77	208	37
ara	25	60	208	51
ara	21	56	146.667	35
ara	20	45	133	35
ara	50	195	833	96
ara	17	26	96	24
ara	12	22	47.6667	17
ara	20	41	133	32
ara	27	70	242.667	46
ara	29	59	280	48
ara	30	71	299.667	59
ara	20	41	133	34
ara	22	44	161	36
ara	8	11	21	10
ara	10	30	33	14
ara	19	53	120	31
ara	13	25	56	21
ara	29	82	280	52
ara	19	43	120	31
ara	30	108	299.667	53
ara	24	67	191.667	43
ara	9	17	26.6667	12
ara	13	36	56	16
ara	27	88	242.667	48
ara	13	29	56	22
ara	16	42	85	25
ara	12	22	47.6667	17
ara	11	17	40	14
ara	23	39	176	35
ara	16	33	85	20
ara	21	36	146.667	31
ara	15	30	74.6667	22
ara	21	57	146.667	36
ara	14	27	65	21
ara	36	92	431.667	72
ara	18	39	107.667	27
ara	19	32	120	27
ara	42	112	587.667	80
ara	11	18	40	12
ara	25	58	208	42
ara	6	7	11.6667	7
ara	8	10	21	8
ara	8	12	21	10
ara	8	13	21	10
ara	7	12	16	7
ara	16	37	85	28
ara	20	41	133	31
ara	29	65	280	52
ara	26	74	225	51
ara	12	19	47.6667	16
ara	39	91	506.667	80
ara	12	22	47.6667	16
ara	20	48	133	41
ara	10	17	33	13
ara	12	25	47.6667	17
ara	18	49	107.667	30
ara	17	30	96	25
ara	16	30	85	25
ara	22	62	161	44
ara	15	37	74.6667	23
ara	14	20	65	18
ara	22	38	161	36
ara	22	59	161	40
ara	20	36	133	31
ara	24	60	191.667	44
ara	16	30	85	20
ara	10	15	33	13
ara	16	29	85	22
ara	14	28	65	20
ara	15	26	74.6667	23
ara	20	43	133	34
ara	20	35	133	30
ara	24	75	191.667	52
ara	24	41	191.667	36
ara	34	96	385	74
ara	13	27	56	19
ara	34	92	385	64
ara	29	66	280	53
ara	19	38	120	32
ara	16	32	85	23
ara	15	25	74.6667	20
ara	18	29	107.667	27
ara	34	76	385	65
ara	20	38	133	27
ara	21	44	146.667	34
ara	19	36	120	32
ara	17	32	96	27
ara	16	40	85	23
ara	28	69	261	54
ara	14	26	65	20
ara	15	38	74.6667	23
ara	13	28	56	17
ara	31	109	320	60
ara	20	49	133	32
ara	13	23	56	18
ara	33	116	362.667	58
ara	15	34	74.6667	22
ara	30	67	299.667	55
ara	22	44	161	38
ara	14	28	65	17
ara	19	47	120	32
ara	21	46	146.667	35
ara	24	60	191.667	41
ara	20	49	133	32
ara	16	37	85	29
ara	29	60	280	52
ara	8	13	21	9
ara	20	39	133	29
ara	29	64	280	58
ara	11	20	40	17
ara	9	19	26.6667	11
ara	19	35	120	32
ara	20	36	133	30
ara	18	31	107.667	26
ara	18	40	107.667	30
ara	30	62	299.667	46
ara	17	36	96	27
ara	26	63	225	51
ara	36	102	431.667	71
ara	23	53	176	40
ara	7	9	16	8
ara	44	120	645	94
ara	26	66	225	44
ara	21	32	146.667	28
ara	19	38	120	29
ara	24	49	191.667	37
ara	27	59	242.667	44
ara	15	37	74.6667	25
ara	22	42	161	36
ara	29	68	280	48
ara	17	30	96	26
ara	15	29	74.6667	19
ara	16	26	85	22
ara	27	52	242.667	45
ara	4	5	5	3
ara	15	26	74.6667	22
ara	18	42	107.667	28
ara	23	65	176	39
ara	24	48	191.667	39
ara	29	71	280	50
ara	10	14	33	12
ara	15	29	74.6667	23
ara	15	27	74.6667	22
ara	6	6	11.6667	6
ara	5	7	8	4
ara	11	29	40	14
ara	31	70	320	55
ara	9	21	26.6667	12
ara	16	35	85	24
ara	14	22	65	19
ara	23	57	176	38
ara	24	44	191.667	38
ara	20	53	133	34
ara	18	37	107.667	30
ara	11	21	40	17
ara	26	65	225	42
ara	29	91	280	52
ara	49	128	800	100
ara	23	57	176	37
ara	40	115	533	83
ara	14	23	65	18
ara	17	30	96	24
ara	29	78	280	52
ara	19	47	120	31
ara	10	18	33	12
ara	19	33	120	29
ara	24	53	191.667	44
ara	28	79	261	57
ara	12	21	47.6667	14
ara	8	10	21	10
ara	17	37	96	24
ara	34	80	385	62
ara	23	44	176	39
ara	8	17	21	9
ara	11	15	40	15
ara	16	27	85	23
ara	21	31	146.667	29
ara	9	13	26.6667	10
ara	20	50	133	32
ara	8	13	21	9
ara	23	49	176	42
ara	22	40	161	36
ara	11	20	40	14
ara	17	30	96	27
ara	11	17	40	16
ara	15	36	74.6667	23
ara	28	61	261	50
ara	17	30	96	25
ara	14	30	65	22
ara	22	43	161	38
ara	21	51	146.667	35
ara	31	108	320	62
ara	19	40	120	30
ara	13	23	56	18
ara	10	14	33	11
ara	20	40	133	36
ara	18	34	107.667	24
ara	29	72	280	47
ara	37	123	456	75
ara	11	18	40	14
ara	29	61	280	53
ara	22	41	161	39
ara	24	53	191.667	44
ara	30	75	299.667	55
ara	17	30	96	24
ara	23	53	176	37
ara	13	28	56	18
ara	18	44	107.667	26
ara	22	62	161	35
ara	10	16	33	11
ara	17	38	96	26
ara	29	64	280	47
ara	13	23	56	18
ara	22	45	161	34
ara	26	45	225	41
ara	15	28	74.6667	21
ara	21	38	146.667	30
ara	16	26	85	21
ara	20	46	133	32
ara	27	66	242.667	44
ara	23	52	176	43
ara	33	69	362.667	60
ara	38	116	481	77
ara	36	104	431.667	72
ara	39	88	506.667	75
ara	17	31	96	25
ara	28	74	261	52
ara	7	8	16	8
ara	15	37	74.6667	22
ara	11	24	40	17
ara	12	21	47.6667	16
ara	12	19	47.6667	15
ara	28	50	261	48
ara	20	45	133	36
ara	18	34	107.667	28
ara	8	10	21	10
ara	7	9	16	8
ara	12	20	47.6667	19
ara	17	32	96	26
ara	13	32	56	18
ara	15	29	74.6667	24
ara	12	21	47.6667	16
ara	21	42	146.667	39
ara	21	33	146.667	30
ara	17	40	96	30
ara	16	37	85	25
ara	25	41	208	36
ara	18	35	107.667	29
ara	20	39	133	34
ara	17	30	96	26
ara	12	21	47.6667	16
ara	26	51	225	45
ara	4	4	5	3
ara	7	9	16	9
ara	25	60	208	40
ara	12	24	47.6667	17
ara	15	22	74.6667	18
ara	11	18	40	16
ara	20	39	133	29
ara	22	44	161	37
ara	22	43	161	38
ara	22	43	161	37
ara	26	63	225	49
ara	29	78	280	51
ara	28	61	261	49
ara	37	98	456	78
ara	17	29	96	26
ara	26	72	225	47
ara	17	34	96	26
ara	18	37	107.667	33
ara	11	17	40	16
ara	29	70	280	51
ara	12	30	47.6667	19
ara	20	43	133	30
ara	21	47	146.667	35
ara	14	27	65	18
ara	7	12	16	8
ara	13	23	56	17
ara	29	85	280	55
ara	18	41	107.667	30
ara	22	56	161	36
ara	29	57	280	53
ara	22	79	161	36
ara	14	22	65	20
ara	13	22	56	18
ara	23	43	176	40
ara	24	60	191.667	36
ara	18	35	107.667	30
ara	29	55	280	44
ara	24	54	191.667	36
ara	22	44	161	35
ara	13	19	56	18
ara	29	62	280	54
ara	11	19	40	12
ara	14	26	65	20
ara	29	69	280	49
ara	20	38	133	34
ara	21	47	146.667	33
ara	37	99	456	71
ara	11	16	40	15
ara	21	41	146.667	30
ara	22	44	161	35
ara	21	44	146.667	32
ara	24	47	191.667	39
ara	23	61	176	46
ara	9	11	26.6667	11
ara	10	13	33	12
ara	32	58	341	52
ara	29	57	280	44
ara	12	17	47.6667	16
ara	20	43	133	32
ara	19	37	120	28
ara	17	33	96	27
ara	12	27	47.6667	17
ara	8	13	21	10
ara	33	84	362.667	58
ara	5	6	8	4
ara	10	16	33	12
ara	19	41	120	32
ara	22	53	161	35
ara	11	17	40	16
ara	24	56	191.667	41
ara	26	78	225	49
ara	31	66	320	56
ara	15	26	74.6667	24
ara	20	38	133	29
ara	10	14	33	12
ara	19	40	120	29
ara	39	106	506.667	73
ara	18	33	107.667	29
ara	16	32	85	25
ara	22	43	161	35
ara	28	63	261	50
ara	24	46	191.667	39
ara	10	13	33	11
ara	19	35	120	28
ara	18	32	107.667	26
ara	30	76	299.667	55
ara	37	108	456	74
ara	14	33	65	19
ara	12	19	47.6667	16
ara	17	41	96	26
ara	22	41	161	37
ara	23	37	176	32
ara	10	14	33	12
ara	16	42	85	26
ara	15	38	74.6667	23
ara	6	7	11.6667	7
ara	20	56	133	36
ara	13	26	56	20
ara	8	10	21	9
ara	49	128	800	100
ara	10	16	33	15
ara	9	14	26.6667	11
ara	26	74	225	47
ara	7	10	16	7
ara	22	49	161	39
ara	15	30	74.6667	21
ara	10	16	33	12
ara	11	23	40	14
ara	14	36	65	20
ara	6	9	11.6667	5
ara	11	19	40	12
ara	20	47	133	38
ara	9	15	26.6667	12
ara	7	12	16	10
ara	13	34	56	20
ara	23	62	176	44
ara	7	11	16	9
ara	6	6	11.6667	5
ara	12	16	47.6667	15
ara	16	45	85	29
ara	8	17	21	9
ara	23	58	176	41
ara	27	65	242.667	44
ara	23	36	176	34
ara	10	18	33	12
ara	5	6	8	4
ara	10	18	33	13
ara	15	27	74.6667	22
ara	30	79	299.667	57
ara	10	15	33	13
ara	35	85	408	61
ara	12	27	47.6667	15
ara	12	19	47.6667	16
ara	8	22	21	10
ara	47	132	736	98
ara	19	37	120	32
ara	30	73	299.667	55
ara	22	58	161	35
ara	17	35	96	29
ara	24	60	191.667	39
ara	7	8	16	8
ara	12	18	47.6667	16
ara	17	50	96	27
ara	14	35	65	18
ara	21	51	146.667	33
ara	25	46	208	41
ara	15	29	74.6667	24
ara	18	39	107.667	31
ara	15	25	74.6667	24
ara	19	38	120	25
ara	11	17	40	15
ara	25	77	208	40
ara	11	18	40	16
ara	12	21	47.6667	16
ara	13	20	56	18
ara	25	57	208	43
ara	11	23	40	14
ara	11	14	40	13
ara	19	42	120	29
ara	22	51	161	32
ara	24	51	191.667	40
ara	5	7	8	4
ara	27	59	242.667	43
ara	21	43	146.667	38
ara	14	35	65	20
ara	16	34	85	27
ara	9	14	26.6667	11
ara	6	9	11.6667	6
ara	21	48	146.667	32
ara	14	24	65	21
ara	14	24	65	18
ara	23	51	176	41
ara	9	19	26.6667	11
ara	32	71	341	54
ara	24	49	191.667	42
ara	20	41	133	28
ara	28	52	261	49
ara	18	31	107.667	27
ara	13	25	56	16
ara	14	26	65	20
ara	21	38	146.667	30
ara	16	27	85	21
ara	17	25	96	25
ara	18	33	107.667	28
ara	13	25	56	15
ara	21	49	146.667	33
ara	22	76	161	35
ara	12	23	47.6667	15
ara	33	73	362.667	58
ara	9	17	26.6667	13
ara	21	40	146.667	34
ara	6	12	11.6667	6
ara	12	20	47.6667	16
ara	15	31	74.6667	24
ara	8	19	21	9
ara	19	36	120	29
ara	11	17	40	14
ara	16	32	85	24
ara	9	13	26.6667	12
ara	16	42	85	23
ara	17	32	96	28
ara	19	44	120	28
ara	31	108	320	58
ara	9	14	26.6667	13
ara	22	43	161	38
ara	20	38	133	31
ara	15	25	74.6667	22
ara	25	70	208	55
ara	22	48	161	38
ara	17	39	96	22
ara	25	73	208	42
ara	28	58	261	49
ara	7	9	16	7
ara	12	18	47.6667	16
ara	15	24	74.6667	21
ara	17	31	96	28
ara	18	38	107.667	28
ara	14	31	65	20
ara	12	18	47.6667	15
ara	19	48	120	30
ara	7	8	16	8
ara	22	54	161	38
ara	16	32	85	22
ara	14	31	65	20
ara	8	9	21	9
ara	7	8	16	8
ara	16	28	85	25
ara	13	27	56	18
ara	27	49	242.667	43
ara	15	26	74.6667	23
ara	12	21	47.6667	16
ara	18	45	107.667	29
ara	15	29	74.6667	20
ara	18	35	107.667	26
ara	6	9	11.6667	6
ara	13	38	56	19
ara	15	30	74.6667	20
ara	22	40	161	33
ara	19	41	120	32
ara	10	16	33	14
ara	6	6	11.6667	6
ara	11	21	40	15
ara	12	24	47.6667	18
ara	16	32	85	23
ara	17	35	96	28
ara	17	32	96	26
ara	16	31	85	26
ara	16	36	85	22
ara	10	21	33	13
ara	8	9	21	9
ara	13	26	56	18
ara	6	8	11.6667	6
ara	4	5	5	3
ara	25	41	208	40
ara	27	59	242.667	47
ara	16	49	85	23
ara	19	31	120	25
ara	11	17	40	13
ara	18	40	107.667	29
ara	3	3	2.66667	2
ara	20	36	133	34
ara	23	52	176	40
ara	10	21	33	15
ara	11	22	40	16
ara	18	30	107.667	27
ara	34	84	385	65
ara	29	74	280	53
ara	14	25	65	21
ara	15	20	74.6667	20
ara	16	30	85	25
ara	23	55	176	38
ara	12	23	47.6667	15
ara	36	87	431.667	69
ara	28	59	261	48
ara	15	23	74.6667	22
ara	15	20	74.6667	19
ara	20	44	133	29
ara	13	18	56	16
ara	24	53	191.667	39
ara	19	39	120	31
ara	17	38	96	30
ara	13	26	56	19
ara	19	32	120	27
ara	25	59	208	42
ara	25	50	208	42
ara	18	35	107.667	29
ara	22	40	161	34
ara	12	34	47.6667	16
ara	16	27	85	23
ara	20	38	133	31
ara	19	47	120	34
ara	24	50	191.667	41
ara	20	45	133	35
ara	22	48	161	31
ara	17	33	96	25
ara	14	22	65	19
ara	18	30	107.667	25
ara	18	30	107.667	26
ara	18	41	107.667	34
ara	17	42	96	27
ara	19	43	120	36
ara	20	43	133	32
ara	20	42	133	29
ara	35	114	408	69
ara	21	42	146.667	36
ara	28	77	261	45
ara	14	27	65	19
ara	11	22	40	14
ara	29	83	280	51
ara	17	34	96	25
ara	25	45	208	42
ara	16	29	85	21
ara	16	31	85	27
ara	21	37	146.667	33
ara	15	29	74.6667	23
ara	18	30	107.667	26
ara	21	45	146.667	33
ara	29	71	280	54
ara	18	35	107.667	25
ara	24	48	191.667	41
ara	21	40	146.667	35
ara	13	19	56	19
ara	23	52	176	37
ara	14	22	65	19
ara	18	26	107.667	25
ara	21	45	146.667	32
ara	25	56	208	49
ara	33	85	362.667	66
ara	19	31	120	27
ara	17	30	96	26
ara	34	85	385	59
ara	31	60	320	52
ara	18	42	107.667	30
ara	19	34	120	29
ara	50	184	833	102
ara	24	55	191.667	37
zho	31	89	320	59
zho	20	54	133	34
zho	37	156	456	70
zho	28	102	261	50
zho	12	20	47.6667	16
zho	8	11	21	9
zho	7	16	16	10
zho	34	93	385	71
zho	20	59	133	31
zho	6	12	11.6667	7
zho	26	91	225	44
zho	20	57	133	32
zho	18	48	107.667	29
zho	23	69	176	43
zho	13	25	56	19
zho	14	29	65	22
zho	10	22	33	12
zho	34	117	385	68
zho	16	61	85	34
zho	19	65	120	30
zho	17	34	96	25
zho	12	24	47.6667	15
zho	26	86	225	43
zho	14	24	65	20
zho	16	38	85	24
zho	18	52	107.667	31
zho	28	90	261	50
zho	19	54	120	33
zho	11	24	40	16
zho	37	200	456	82
zho	21	64	146.667	35
zho	13	39	56	19
zho	18	63	107.667	27
zho	27	81	242.667	53
zho	21	78	146.667	39
zho	16	34	85	24
zho	20	69	133	34
zho	7	10	16	8
zho	8	16	21	9
zho	15	39	74.6667	23
zho	17	58	96	28
zho	8	11	21	10
zho	17	42	96	29
zho	31	137	320	61
zho	31	106	320	55
zho	30	81	299.667	49
zho	11	28	40	14
zho	23	67	176	34
zho	17	67	96	24
zho	30	90	299.667	56
zho	14	27	65	23
zho	22	61	161	41
zho	10	29	33	11
zho	22	75	161	41
zho	15	56	74.6667	26
zho	26	67	225	43
zho	42	160	587.667	84
zho	13	31	56	17
zho	16	48	85	24
zho	16	41	85	25
zho	15	41	74.6667	25
zho	11	27	40	17
zho	8	12	21	9
zho	12	28	47.6667	17
zho	13	22	56	20
zho	7	13	16	10
zho	23	72	176	41
zho	27	111	242.667	51
zho	12	22	47.6667	18
zho	28	93	261	58
zho	19	57	120	31
zho	19	46	120	31
zho	21	48	146.667	38
zho	20	75	133	33
zho	16	50	85	22
zho	21	131	146.667	33
zho	15	46	74.6667	21
zho	15	31	74.6667	21
zho	21	89	146.667	34
zho	20	58	133	34
zho	13	43	56	18
zho	16	39	85	24
zho	32	126	341	64
zho	14	47	65	19
zho	34	136	385	60
zho	21	74	146.667	33
zho	25	113	208	44
zho	16	40	85	28
zho	24	66	191.667	41
zho	21	57	146.667	33
zho	11	27	40	16
zho	31	102	320	60
zho	31	156	320	62
zho	19	68	120	27
zho	29	77	280	54
zho	9	25	26.6667	11
zho	19	48	120	35
zho	27	57	242.667	46
zho	24	83	191.667	42
zho	11	20	40	14
zho	33	129	362.667	68
zho	21	71	146.667	35
zho	21	94	146.667	36
zho	12	21	47.6667	17
zho	24	63	191.667	39
zho	17	40	96	26
zho	31	95	320	53
zho	28	93	261	52
zho	33	105	362.667	60
zho	23	77	176	39
zho	6	9	11.6667	7
zho	15	24	74.6667	23
zho	20	41	133	35
zho	10	21	33	16
zho	25	79	208	38
zho	42	161	587.667	91
zho	31	166	320	59
zho	24	57	191.667	39
zho	7	11	16	8
zho	19	53	120	30
zho	12	22	47.6667	16
zho	37	148	456	76
zho	16	61	85	26
zho	14	39	65	23
zho	5	7	8	6
zho	25	105	208	43
zho	16	51	85	25
zho	25	116	208	45
zho	8	12	21	9
zho	21	46	146.667	36
zho	14	26	65	19
zho	16	43	85	21
zho	20	60	133	38
zho	14	46	65	24
zho	23	82	176	41
zho	7	11	16	8
zho	14	22	65	21
zho	25	71	208	45
zho	22	70	161	35
zho	16	43	85	27
zho	16	42	85	25
zho	28	87	261	52
zho	24	71	191.667	40
zho	30	116	299.667	54
zho	19	62	120	30
zho	23	59	176	43
zho	23	71	176	36
zho	13	56	56	18
zho	4	4	5	4
zho	19	50	120	32
zho	27	95	242.667	46
zho	28	114	261	50
zho	22	70	161	35
zho	12	31	47.6667	16
zho	16	40	85	22
zho	18	53	107.667	27
zho	17	68	96	23
zho	26	98	225	42
zho	12	16	47.6667	14
zho	12	26	47.6667	16
zho	16	40	85	25
zho	27	78	242.667	50
zho	13	21	56	18
zho	11	27	40	15
zho	18	50	107.667	26
zho	24	64	191.667	42
zho	15	48	74.6667	24
zho	13	31	56	21
zho	6	8	11.6667	5
zho	14	32	65	21
zho	6	10	11.6667	7
zho	18	53	107.667	28
zho	14	46	65	24
zho	8	14	21	11
zho	30	72	299.667	50
zho	4	4	5	4
zho	13	44	56	21
zho	12	23	47.6667	15
zho	13	31	56	22
zho	18	52	107.667	30
zho	13	37	56	18
zho	17	32	96	29
zho	13	40	56	17
zho	14	50	65	21
zho	17	32	96	25
zho	18	63	107.667	33
zho	3	2	2.66667	2
zho	6	8	11.6667	7
zho	22	62	161	37
