treebank	n	D	Drla	Dmin
ara	19	43	120	28
ara	5	5	8	4
ara	13	18	56	16
ara	13	23	56	18
ara	20	40	133	27
ara	4	3	5	3
ara	11	16	40	12
ara	14	40	65	17
ara	12	17	47.6667	15
ara	19	37	120	32
ara	28	59	261	46
ara	31	56	320	44
ara	16	33	85	26
ara	23	42	176	32
ara	27	50	242.667	35
ara	7	8	16	8
ara	5	5	8	5
ara	31	66	320	54
ara	31	49	320	42
ara	14	35	65	18
ara	26	55	225	40
ara	7	9	16	6
ara	5	5	8	4
ara	28	58	261	43
ara	24	45	191.667	38
ara	5	7	8	6
ara	9	12	26.6667	10
ara	20	33	133	23
ara	17	33	96	23
ara	20	40	133	28
ara	23	45	176	33
ara	9	11	26.6667	9
ara	8	11	21	8
ara	8	10	21	9
ara	30	57	299.667	48
ara	35	64	408	57
ara	20	54	133	35
ara	17	21	96	20
ara	24	43	191.667	33
ara	14	18	65	17
ara	14	23	65	16
ara	18	43	107.667	23
ara	8	12	21	9
ara	23	51	176	32
ara	12	19	47.6667	15
ara	22	55	161	35
ara	17	24	96	24
ara	10	14	33	13
ara	13	30	56	14
ara	15	24	74.6667	19
ara	32	78	341	55
ara	21	42	146.667	29
ara	21	32	146.667	28
ara	17	39	96	22
ara	26	62	225	46
ara	19	41	120	26
ara	20	36	133	29
ara	15	23	74.6667	21
ara	28	67	261	48
ara	9	13	26.6667	13
ara	22	38	161	26
ara	14	21	65	19
ara	20	57	133	28
ara	12	15	47.6667	15
ara	28	59	261	50
ara	17	26	96	25
ara	16	28	85	21
ara	8	9	21	7
ara	34	66	385	56
ara	13	26	56	15
ara	22	47	161	31
ara	27	58	242.667	42
ara	6	6	11.6667	6
ara	14	22	65	19
ara	17	32	96	24
ara	17	26	96	23
ara	11	20	40	14
ara	15	19	74.6667	18
ara	13	30	56	15
ara	15	31	74.6667	20
ara	15	29	74.6667	22
ara	13	19	56	15
ara	19	37	120	31
ara	23	38	176	33
ara	10	14	33	14
ara	5	7	8	5
ara	25	46	208	40
ara	11	23	40	14
ara	6	12	11.6667	6
ara	16	24	85	22
ara	6	8	11.6667	6
ara	19	34	120	28
ara	13	20	56	15
ara	13	22	56	16
ara	12	20	47.6667	16
ara	13	24	56	17
ara	17	45	96	27
ara	12	20	47.6667	15
ara	33	78	362.667	54
ara	6	8	11.6667	6
ara	14	25	65	17
ara	20	33	133	31
ara	23	44	176	38
ara	15	23	74.6667	20
ara	21	32	146.667	30
ara	8	14	21	9
ara	10	16	33	14
ara	20	31	133	29
ara	16	27	85	19
ara	8	12	21	9
ara	24	68	191.667	44
ara	20	36	133	27
ara	24	48	191.667	35
ara	9	14	26.6667	10
ara	22	37	161	32
ara	14	23	65	17
ara	21	58	146.667	29
ara	15	31	74.6667	20
ara	12	34	47.6667	15
ara	19	23	120	22
ara	14	22	65	20
ara	23	43	176	32
ara	20	36	133	29
ara	15	32	74.6667	21
ara	23	56	176	34
ara	18	35	107.667	23
ara	13	20	56	16
ara	15	25	74.6667	17
ara	17	27	96	25
ara	7	8	16	6
ara	22	78	161	35
ara	12	19	47.6667	16
ara	12	17	47.6667	14
ara	13	18	56	16
ara	17	40	96	24
ara	30	72	299.667	48
ara	22	38	161	31
ara	18	39	107.667	25
ara	22	51	161	30
ara	18	33	107.667	27
ara	17	30	96	21
ara	18	30	107.667	22
ara	25	50	208	35
ara	21	34	146.667	25
ara	17	35	96	27
ara	6	5	11.6667	5
ara	9	16	26.6667	13
ara	11	18	40	13
ara	29	88	280	49
ara	12	15	47.6667	13
ara	19	29	120	28
ara	16	31	85	22
ara	13	22	56	16
ara	10	16	33	10
ara	17	34	96	23
ara	16	24	85	21
ara	8	14	21	10
ara	19	55	120	31
ara	10	18	33	11
ara	14	25	65	18
ara	17	27	96	23
ara	14	23	65	16
ara	24	67	191.667	37
ara	16	25	85	23
ara	20	29	133	26
ara	26	36	225	34
ara	14	22	65	18
ara	11	18	40	15
ara	14	21	65	20
ara	15	20	74.6667	19
ara	14	20	65	16
ara	33	77	362.667	55
ara	15	21	74.6667	19
ara	10	16	33	13
ara	31	63	320	47
ara	9	13	26.6667	9
ara	12	16	47.6667	12
ara	15	25	74.6667	21
ara	13	25	56	18
ara	20	34	133	27
ara	20	34	133	28
ara	9	12	26.6667	11
ara	9	11	26.6667	11
ara	16	26	85	21
ara	11	16	40	14
ara	28	73	261	49
ara	18	28	107.667	26
ara	25	73	208	40
ara	27	52	242.667	38
ara	15	21	74.6667	18
ara	10	13	33	12
ara	17	28	96	23
ara	13	20	56	16
ara	28	80	261	47
ara	26	53	225	42
ara	30	60	299.667	46
ara	16	39	85	23
ara	28	45	261	40
ara	15	32	74.6667	25
ara	18	27	107.667	22
ara	25	59	208	35
ara	25	50	208	44
ara	21	45	146.667	33
ara	20	44	133	32
ara	50	171	833	82
ara	17	23	96	22
ara	12	21	47.6667	14
ara	20	36	133	28
ara	27	59	242.667	39
ara	29	53	280	41
ara	30	70	299.667	56
ara	20	41	133	31
ara	22	39	161	32
ara	8	11	21	9
ara	10	21	33	12
ara	19	50	120	28
ara	13	23	56	18
ara	29	73	280	46
ara	19	40	120	28
ara	30	63	299.667	47
ara	24	54	191.667	36
ara	9	14	26.6667	10
ara	13	31	56	15
ara	27	61	242.667	39
ara	13	20	56	17
ara	16	32	85	22
ara	12	20	47.6667	15
ara	11	15	40	12
ara	23	35	176	30
ara	16	31	85	18
ara	21	33	146.667	29
ara	15	33	74.6667	20
ara	21	56	146.667	31
ara	14	26	65	20
ara	36	87	431.667	63
ara	18	33	107.667	23
ara	19	27	120	24
ara	42	84	587.667	64
ara	11	17	40	11
ara	25	53	208	39
ara	6	6	11.6667	6
ara	8	9	21	7
ara	8	11	21	10
ara	8	12	21	9
ara	7	11	16	7
ara	16	37	85	26
ara	20	38	133	27
ara	29	46	280	40
ara	26	72	225	47
ara	12	16	47.6667	13
ara	39	71	506.667	65
ara	12	20	47.6667	14
ara	20	44	133	32
ara	10	16	33	12
ara	12	20	47.6667	15
ara	18	46	107.667	28
ara	17	26	96	23
ara	16	28	85	22
ara	22	60	161	43
ara	15	35	74.6667	21
ara	14	20	65	18
ara	22	36	161	31
ara	22	50	161	33
ara	20	31	133	27
ara	24	45	191.667	38
ara	16	28	85	18
ara	10	15	33	11
ara	16	27	85	19
ara	14	24	65	18
ara	15	21	74.6667	20
ara	20	40	133	29
ara	20	32	133	26
ara	24	40	191.667	33
ara	24	38	191.667	33
ara	34	79	385	60
ara	13	24	56	17
ara	34	101	385	58
ara	29	59	280	46
ara	19	37	120	29
ara	16	30	85	21
ara	15	21	74.6667	16
ara	18	26	107.667	24
ara	34	62	385	54
ara	20	35	133	25
ara	21	42	146.667	31
ara	19	36	120	29
ara	17	24	96	23
ara	16	41	85	23
ara	28	65	261	46
ara	14	27	65	18
ara	15	33	74.6667	19
ara	13	24	56	16
ara	31	79	320	55
ara	20	49	133	29
ara	13	22	56	16
ara	33	114	362.667	56
ara	15	30	74.6667	19
ara	30	58	299.667	49
ara	22	42	161	34
ara	14	25	65	16
ara	19	42	120	28
ara	21	40	146.667	33
ara	24	51	191.667	35
ara	20	40	133	26
ara	16	32	85	24
ara	29	54	280	47
ara	8	12	21	9
ara	20	35	133	25
ara	29	55	280	54
ara	11	18	40	14
ara	9	14	26.6667	11
ara	19	29	120	27
ara	20	31	133	25
ara	18	29	107.667	24
ara	18	34	107.667	26
ara	30	55	299.667	40
ara	17	26	96	22
ara	26	50	225	44
ara	36	75	431.667	61
ara	23	42	176	35
ara	7	7	16	6
ara	44	107	645	84
ara	26	56	225	38
ara	21	27	146.667	25
ara	19	33	120	26
ara	24	44	191.667	33
ara	27	51	242.667	39
ara	15	37	74.6667	25
ara	22	35	161	32
ara	29	61	280	42
ara	17	30	96	24
ara	15	27	74.6667	18
ara	16	23	85	19
ara	27	47	242.667	39
ara	4	5	5	3
ara	15	25	74.6667	20
ara	18	33	107.667	24
ara	23	58	176	35
ara	24	42	191.667	34
ara	29	65	280	46
ara	10	13	33	11
ara	15	27	74.6667	21
ara	15	25	74.6667	22
ara	6	6	11.6667	6
ara	5	6	8	4
ara	11	29	40	13
ara	31	64	320	51
ara	9	20	26.6667	10
ara	16	31	85	22
ara	14	22	65	17
ara	23	48	176	33
ara	24	43	191.667	32
ara	20	43	133	31
ara	18	35	107.667	26
ara	11	22	40	14
ara	26	58	225	40
ara	29	65	280	46
ara	49	116	800	89
ara	23	52	176	35
ara	40	117	533	73
ara	14	19	65	15
ara	17	26	96	22
ara	29	72	280	47
ara	19	42	120	28
ara	10	14	33	10
ara	19	33	120	26
ara	24	48	191.667	41
ara	28	72	261	52
ara	12	18	47.6667	12
ara	8	9	21	9
ara	17	32	96	21
ara	34	67	385	51
ara	23	42	176	34
ara	8	16	21	8
ara	11	15	40	13
ara	16	24	85	20
ara	21	28	146.667	26
ara	9	12	26.6667	9
ara	20	45	133	28
ara	8	11	21	8
ara	23	44	176	37
ara	22	36	161	33
ara	11	18	40	14
ara	17	26	96	22
ara	11	15	40	15
ara	15	30	74.6667	20
ara	28	67	261	45
ara	17	30	96	25
ara	14	25	65	18
ara	22	45	161	35
ara	21	47	146.667	30
ara	31	97	320	55
ara	19	33	120	24
ara	13	20	56	16
ara	10	12	33	10
ara	20	34	133	29
ara	18	31	107.667	21
ara	29	71	280	46
ara	37	91	456	67
ara	11	19	40	13
ara	29	54	280	44
ara	22	35	161	33
ara	24	52	191.667	40
ara	30	69	299.667	48
ara	17	28	96	22
ara	23	47	176	32
ara	13	26	56	17
ara	18	37	107.667	24
ara	22	57	161	32
ara	10	14	33	9
ara	17	36	96	24
ara	29	61	280	42
ara	13	22	56	15
ara	22	42	161	32
ara	26	41	225	37
ara	15	24	74.6667	19
ara	21	32	146.667	25
ara	16	24	85	20
ara	20	39	133	27
ara	27	60	242.667	39
ara	23	46	176	37
ara	33	56	362.667	49
ara	38	101	481	66
ara	36	97	431.667	64
ara	39	82	506.667	68
ara	17	29	96	23
ara	28	63	261	44
ara	7	9	16	7
ara	15	33	74.6667	19
ara	11	22	40	14
ara	12	19	47.6667	14
ara	12	17	47.6667	13
ara	28	44	261	41
ara	20	39	133	28
ara	18	32	107.667	24
ara	8	11	21	8
ara	7	8	16	8
ara	12	19	47.6667	14
ara	17	28	96	20
ara	13	30	56	16
ara	15	27	74.6667	23
ara	12	17	47.6667	15
ara	21	40	146.667	34
ara	21	30	146.667	27
ara	17	34	96	29
ara	16	36	85	24
ara	25	41	208	32
ara	18	30	107.667	26
ara	20	34	133	30
ara	17	26	96	21
ara	12	16	47.6667	14
ara	26	53	225	41
ara	4	3	5	3
ara	7	8	16	8
ara	25	61	208	37
ara	12	22	47.6667	16
ara	15	20	74.6667	15
ara	11	17	40	15
ara	20	34	133	27
ara	22	40	161	31
ara	22	44	161	36
ara	22	31	161	29
ara	26	57	225	44
ara	29	63	280	48
ara	28	58	261	42
ara	37	87	456	66
ara	17	27	96	22
ara	26	64	225	40
ara	17	30	96	22
ara	18	37	107.667	31
ara	11	15	40	13
ara	29	69	280	47
ara	12	42	47.6667	18
ara	20	39	133	26
ara	21	45	146.667	32
ara	14	25	65	17
ara	7	11	16	8
ara	13	24	56	14
ara	29	61	280	47
ara	18	37	107.667	27
ara	22	50	161	31
ara	29	53	280	48
ara	22	73	161	32
ara	14	20	65	18
ara	13	22	56	18
ara	23	40	176	33
ara	24	54	191.667	31
ara	18	30	107.667	26
ara	29	50	280	38
ara	24	43	191.667	34
ara	22	41	161	30
ara	13	22	56	17
ara	29	55	280	47
ara	11	17	40	11
ara	14	22	65	16
ara	29	66	280	47
ara	20	36	133	29
ara	21	44	146.667	30
ara	37	82	456	65
ara	11	13	40	12
ara	21	36	146.667	26
ara	22	40	161	32
ara	21	40	146.667	27
ara	24	41	191.667	34
ara	23	58	176	40
ara	9	14	26.6667	10
ara	10	12	33	11
ara	32	51	341	44
ara	29	53	280	39
ara	12	16	47.6667	15
ara	20	37	133	26
ara	19	33	120	26
ara	17	32	96	24
ara	12	22	47.6667	15
ara	8	10	21	8
ara	33	79	362.667	52
ara	5	6	8	4
ara	10	15	33	12
ara	19	41	120	26
ara	22	51	161	33
ara	11	13	40	13
ara	24	51	191.667	36
ara	26	56	225	42
ara	31	56	320	50
ara	15	22	74.6667	21
ara	20	34	133	25
ara	10	12	33	10
ara	19	37	120	25
ara	39	100	506.667	65
ara	18	32	107.667	23
ara	16	26	85	21
ara	22	36	161	28
ara	28	57	261	45
ara	24	42	191.667	35
ara	10	11	33	10
ara	19	34	120	25
ara	18	25	107.667	22
ara	30	74	299.667	50
ara	37	102	456	67
ara	14	30	65	17
ara	12	18	47.6667	15
ara	17	36	96	25
ara	22	37	161	31
ara	23	33	176	28
ara	10	12	33	11
ara	16	47	85	21
ara	15	36	74.6667	22
ara	6	9	11.6667	6
ara	20	47	133	32
ara	13	23	56	18
ara	8	9	21	8
ara	49	100	800	87
ara	10	16	33	13
ara	9	15	26.6667	10
ara	26	63	225	41
ara	7	10	16	7
ara	22	48	161	37
ara	15	27	74.6667	19
ara	10	15	33	11
ara	11	22	40	13
ara	14	27	65	19
ara	6	9	11.6667	5
ara	11	17	40	11
ara	20	46	133	28
ara	9	12	26.6667	9
ara	7	11	16	10
ara	13	24	56	18
ara	23	59	176	40
ara	7	9	16	8
ara	6	5	11.6667	5
ara	12	14	47.6667	14
ara	16	42	85	22
ara	8	15	21	9
ara	23	48	176	38
ara	27	54	242.667	38
ara	23	31	176	29
ara	10	15	33	12
ara	5	6	8	4
ara	10	13	33	11
ara	15	26	74.6667	18
ara	30	74	299.667	52
ara	10	13	33	11
ara	35	77	408	53
ara	12	25	47.6667	15
ara	12	18	47.6667	15
ara	8	22	21	10
ara	47	105	736	87
ara	19	34	120	29
ara	30	63	299.667	48
ara	22	56	161	32
ara	17	36	96	25
ara	24	58	191.667	34
ara	7	8	16	7
ara	12	17	47.6667	15
ara	17	47	96	25
ara	14	32	65	16
ara	21	43	146.667	30
ara	25	44	208	37
ara	15	28	74.6667	21
ara	18	39	107.667	27
ara	15	23	74.6667	22
ara	19	35	120	23
ara	11	14	40	13
ara	25	58	208	37
ara	11	16	40	14
ara	12	18	47.6667	13
ara	13	19	56	17
ara	25	53	208	38
ara	11	21	40	13
ara	11	13	40	13
ara	19	32	120	25
ara	22	46	161	27
ara	24	45	191.667	36
ara	5	6	8	4
ara	27	55	242.667	40
ara	21	44	146.667	31
ara	14	26	65	18
ara	16	23	85	20
ara	9	13	26.6667	10
ara	6	8	11.6667	6
ara	21	44	146.667	31
ara	14	22	65	20
ara	14	22	65	16
ara	23	45	176	36
ara	9	16	26.6667	9
ara	32	62	341	49
ara	24	43	191.667	40
ara	20	38	133	26
ara	28	48	261	42
ara	18	27	107.667	23
ara	13	22	56	14
ara	14	25	65	19
ara	21	34	146.667	27
ara	16	25	85	19
ara	17	23	96	22
ara	18	29	107.667	25
ara	13	25	56	15
ara	21	38	146.667	28
ara	22	54	161	31
ara	12	21	47.6667	14
ara	33	66	362.667	53
ara	9	15	26.6667	13
ara	21	40	146.667	31
ara	6	12	11.6667	6
ara	12	17	47.6667	15
ara	15	28	74.6667	20
ara	8	15	21	8
ara	19	34	120	27
ara	11	16	40	14
ara	16	26	85	20
ara	9	10	26.6667	10
ara	16	34	85	23
ara	17	33	96	26
ara	19	42	120	27
ara	31	84	320	49
ara	9	11	26.6667	11
ara	22	42	161	34
ara	20	32	133	26
ara	15	22	74.6667	20
ara	25	51	208	42
ara	22	42	161	36
ara	17	35	96	19
ara	25	67	208	37
ara	28	49	261	44
ara	7	9	16	7
ara	12	15	47.6667	14
ara	15	23	74.6667	20
ara	17	28	96	26
ara	18	35	107.667	26
ara	14	27	65	18
ara	12	18	47.6667	15
ara	19	45	120	28
ara	7	7	16	7
ara	22	45	161	34
ara	16	27	85	20
ara	14	28	65	18
ara	8	8	21	8
ara	7	9	16	8
ara	16	25	85	20
ara	13	25	56	16
ara	27	44	242.667	39
ara	15	26	74.6667	22
ara	12	19	47.6667	14
ara	18	39	107.667	24
ara	15	24	74.6667	17
ara	18	34	107.667	23
ara	6	7	11.6667	5
ara	13	37	56	18
ara	15	23	74.6667	17
ara	22	35	161	31
ara	19	38	120	30
ara	10	15	33	13
ara	6	6	11.6667	6
ara	11	16	40	13
ara	12	20	47.6667	15
ara	16	30	85	21
ara	17	34	96	24
ara	17	31	96	24
ara	16	31	85	22
ara	16	34	85	22
ara	10	18	33	12
ara	8	9	21	9
ara	13	23	56	17
ara	6	7	11.6667	5
ara	4	5	5	3
ara	25	37	208	33
ara	27	56	242.667	42
ara	16	31	85	21
ara	19	27	120	22
ara	11	17	40	12
ara	18	36	107.667	27
ara	3	3	2.66667	2
ara	20	34	133	29
ara	23	47	176	36
ara	10	18	33	12
ara	11	20	40	14
ara	18	27	107.667	23
ara	34	78	385	60
ara	29	74	280	50
ara	14	22	65	19
ara	15	18	74.6667	17
ara	16	27	85	21
ara	23	42	176	36
ara	12	20	47.6667	14
ara	36	78	431.667	63
ara	28	55	261	46
ara	15	23	74.6667	19
ara	15	19	74.6667	17
ara	20	38	133	26
ara	13	16	56	14
ara	24	52	191.667	35
ara	19	37	120	29
ara	17	36	96	22
ara	13	24	56	17
ara	19	29	120	23
ara	25	56	208	40
ara	25	47	208	39
ara	18	32	107.667	26
ara	22	38	161	33
ara	12	31	47.6667	16
ara	16	24	85	20
ara	20	35	133	29
ara	19	43	120	30
ara	24	46	191.667	40
ara	20	42	133	31
ara	22	44	161	29
ara	17	25	96	22
ara	14	21	65	17
ara	18	29	107.667	24
ara	18	28	107.667	22
ara	18	36	107.667	24
ara	17	39	96	26
ara	19	42	120	32
ara	20	40	133	28
ara	20	36	133	25
ara	35	104	408	64
ara	21	38	146.667	30
ara	28	59	261	39
ara	14	26	65	18
ara	11	20	40	14
ara	29	75	280	45
ara	17	32	96	23
ara	25	44	208	39
ara	16	27	85	18
ara	16	28	85	25
ara	21	34	146.667	30
ara	15	29	74.6667	19
ara	18	26	107.667	23
ara	21	43	146.667	33
ara	29	50	280	44
ara	18	33	107.667	24
ara	24	43	191.667	37
ara	21	41	146.667	30
ara	13	18	56	18
ara	23	44	176	29
ara	14	18	65	17
ara	18	23	107.667	22
ara	21	38	146.667	30
ara	25	44	208	40
ara	33	80	362.667	59
ara	19	30	120	26
ara	17	28	96	25
ara	34	78	385	52
ara	31	55	320	49
ara	18	35	107.667	26
ara	19	31	120	26
ara	50	163	833	89
ara	24	45	191.667	34
zho	31	98	320	55
zho	20	67	133	27
zho	37	159	456	65
zho	28	95	261	42
zho	12	20	47.6667	15
zho	8	10	21	9
zho	7	12	16	8
zho	34	88	385	61
zho	20	67	133	26
zho	6	9	11.6667	6
zho	26	87	225	38
zho	20	54	133	28
zho	18	46	107.667	26
zho	23	60	176	41
zho	13	27	56	18
zho	14	35	65	18
zho	10	24	33	11
zho	34	117	385	63
zho	16	40	85	25
zho	19	61	120	28
zho	17	32	96	24
zho	12	22	47.6667	14
zho	26	88	225	40
zho	14	25	65	19
zho	16	37	85	24
zho	18	64	107.667	27
zho	28	86	261	43
zho	19	59	120	27
zho	11	16	40	15
zho	37	183	456	70
zho	21	59	146.667	35
zho	13	42	56	17
zho	18	61	107.667	27
zho	27	70	242.667	48
zho	21	68	146.667	33
zho	16	34	85	23
zho	20	68	133	28
zho	7	10	16	8
zho	8	15	21	8
zho	15	39	74.6667	20
zho	17	63	96	24
zho	8	13	21	9
zho	17	46	96	28
zho	31	133	320	51
zho	31	114	320	48
zho	30	78	299.667	46
zho	11	27	40	13
zho	23	62	176	29
zho	17	55	96	20
zho	30	88	299.667	56
zho	14	26	65	19
zho	22	63	161	34
zho	10	33	33	10
zho	22	60	161	34
zho	15	32	74.6667	19
zho	26	75	225	37
zho	42	146	587.667	71
zho	13	29	56	14
zho	16	37	85	21
zho	16	42	85	23
zho	15	40	74.6667	21
zho	11	27	40	16
zho	8	13	21	9
zho	12	28	47.6667	14
zho	13	25	56	17
zho	7	10	16	8
zho	23	73	176	37
zho	27	113	242.667	35
zho	12	24	47.6667	17
zho	28	93	261	49
zho	19	52	120	28
zho	19	45	120	29
zho	21	50	146.667	36
zho	20	67	133	29
zho	16	45	85	19
zho	21	78	146.667	26
zho	15	39	74.6667	20
zho	15	30	74.6667	18
zho	21	81	146.667	29
zho	20	50	133	29
zho	13	45	56	17
zho	16	37	85	21
zho	32	117	341	54
zho	14	37	65	17
zho	34	154	385	52
zho	21	70	146.667	30
zho	25	114	208	41
zho	16	39	85	28
zho	24	60	191.667	37
zho	21	51	146.667	32
zho	11	24	40	14
zho	31	95	320	56
zho	31	157	320	48
zho	19	65	120	23
zho	29	79	280	53
zho	9	22	26.6667	11
zho	19	54	120	28
zho	27	57	242.667	43
zho	24	86	191.667	35
zho	11	20	40	14
zho	33	152	362.667	60
zho	21	63	146.667	32
zho	21	89	146.667	35
zho	12	20	47.6667	17
zho	24	60	191.667	38
zho	17	39	96	22
zho	31	97	320	47
zho	28	95	261	42
zho	33	118	362.667	57
zho	23	81	176	35
zho	6	8	11.6667	7
zho	15	23	74.6667	23
zho	20	41	133	32
zho	10	15	33	14
zho	25	79	208	32
zho	42	145	587.667	85
zho	31	152	320	48
zho	24	56	191.667	34
zho	7	8	16	7
zho	19	51	120	30
zho	12	21	47.6667	15
zho	37	171	456	64
zho	16	51	85	21
zho	14	40	65	19
zho	5	7	8	6
zho	25	104	208	39
zho	16	55	85	22
zho	25	113	208	39
zho	8	11	21	9
zho	21	48	146.667	32
zho	14	25	65	16
zho	16	34	85	18
zho	20	57	133	28
zho	14	37	65	21
zho	23	89	176	35
zho	7	12	16	7
zho	14	23	65	19
zho	25	90	208	36
zho	22	71	161	28
zho	16	30	85	23
zho	16	40	85	23
zho	28	90	261	46
zho	24	49	191.667	35
zho	30	100	299.667	47
zho	19	69	120	24
zho	23	63	176	35
zho	23	75	176	32
zho	13	35	56	16
zho	4	4	5	4
zho	19	50	120	28
zho	27	88	242.667	39
zho	28	113	261	45
zho	22	63	161	32
zho	12	29	47.6667	15
zho	16	41	85	20
zho	18	62	107.667	23
zho	17	73	96	20
zho	26	98	225	35
zho	12	18	47.6667	14
zho	12	25	47.6667	14
zho	16	32	85	24
zho	27	77	242.667	43
zho	13	20	56	17
zho	11	26	40	14
zho	18	52	107.667	24
zho	24	63	191.667	37
zho	15	42	74.6667	22
zho	13	32	56	19
zho	6	8	11.6667	5
zho	14	35	65	21
zho	6	8	11.6667	6
zho	18	51	107.667	27
zho	14	53	65	22
zho	8	17	21	11
zho	30	68	299.667	45
zho	4	3	5	3
zho	13	48	56	19
zho	12	21	47.6667	15
zho	13	25	56	22
zho	18	52	107.667	28
zho	13	31	56	17
zho	17	30	96	23
zho	13	40	56	17
zho	14	53	65	16
zho	17	29	96	23
zho	18	44	107.667	26
zho	3	2	2.66667	2
zho	6	8	11.6667	7
zho	22	61	161	32
